=== DECILE_WINRATE_REPORT ===
Generated: 2026-03-28 14:29:40
ST   ATR    Vol    RSI    ADX    EMA    BBW    R_BSP  B_BSP  RT_BSP S_BSP  Total    Wins   Win Rate   PnL       
-----------------------------------------------------------------------------------------------------------------
10M  10     10     70     40     10     10     0      -1     0      0      1        1      100.0% 0.02      
10M  20     10     10     100    40     30     0      0      0      0      1        0      0.0% -0.08     
10M  20     10     20     80     60     10     -1     0      1      1      1        1      100.0% 0.02      
10M  20     10     40     10     10     30     -1     0      0      0      1        0      0.0% -0.09     
10M  20     10     40     10     10     30     0      1      1      1      1        0      0.0% -0.34     
10M  20     10     40     30     20     30     1      0      -1     -1     1        0      0.0% -0.09     
10M  20     10     40     40     30     30     -1     0      0      0      1        1      100.0% 0.07      
10M  20     10     40     50     10     10     0      0      0      0      1        1      100.0% 0.04      
10M  20     10     40     50     50     40     0      0      0      0      1        1      100.0% 0.23      
10M  20     10     60     10     20     30     0      0      0      0      1        0      0.0% -0.05     
10M  20     10     80     10     20     10     1      -1     0      0      1        1      100.0% 0.13      
10M  20     10     90     60     30     20     -1     0      1      1      1        0      0.0% -0.03     
10M  20     10     100    70     10     10     -1     0      0      0      1        0      0.0% -0.06     
10M  20     10     100    100    40     30     -1     -1     1      1      1        1      100.0% 0.03      
10M  20     10     100    100    70     30     0      0      0      0      1        1      100.0% 0.15      
10M  20     20     80     50     10     20     -1     0      1      1      1        0      0.0% -0.41     
10M  30     10     10     10     40     10     -1     -1     1      1      1        1      100.0% 0.81      
10M  30     10     10     80     30     20     1      1      1      1      1        0      0.0% -0.03     
10M  30     10     30     50     50     10     -1     0      1      1      1        0      0.0% -0.77     
10M  30     10     30     60     40     30     -1     -1     0      0      1        0      0.0% -0.02     
10M  30     10     40     10     30     80     -1     1      0      0      1        0      0.0% -0.08     
10M  30     10     40     60     30     50     0      0      0      0      1        0      0.0% -0.09     
10M  30     10     50     10     50     20     -1     0      1      1      1        1      100.0% 0.60      
10M  30     10     60     60     20     50     0      0      0      0      1        0      0.0% -0.11     
10M  30     10     70     10     10     30     -1     0      -1     -1     1        0      0.0% -0.13     
10M  30     10     80     10     30     20     1      0      1      1      1        0      0.0% -0.14     
10M  30     10     80     30     50     20     1      0      1      1      1        0      0.0% -0.20     
10M  30     10     80     50     20     20     -1     0      0      0      1        1      100.0% 0.08      
10M  30     10     80     60     40     20     -1     0      0      0      1        1      100.0% 0.49      
10M  30     10     80     80     50     30     -1     0      0      0      1        1      100.0% 1.01      
10M  30     10     90     10     40     20     1      0      1      1      1        0      0.0% -0.68     
10M  30     10     90     60     100    30     0      0      -1     -1     1        1      100.0% 0.06      
10M  30     10     100    60     80     60     0      0      0      0      1        0      0.0% -0.05     
10M  30     10     100    70     90     70     -1     0      0      0      1        0      0.0% -0.11     
10M  30     20     50     20     10     10     0      0      1      1      1        1      100.0% 0.12      
10M  30     20     80     50     40     30     0      0      1      1      1        0      0.0% -0.15     
10M  40     10     10     100    50     60     0      0      0      0      1        1      100.0% 0.01      
10M  40     10     20     80     50     60     0      0      0      0      1        0      0.0% -0.17     
10M  40     10     20     80     60     60     -1     0      0      0      1        0      0.0% -0.10     
10M  40     10     30     10     40     50     0      0      0      0      1        0      0.0% -0.08     
10M  40     10     30     60     30     30     0      -1     0      0      1        0      0.0% -0.10     
10M  40     10     40     10     10     20     0      0      0      0      1        0      0.0% -0.13     
10M  40     10     40     10     20     10     -1     0      -1     -1     1        0      0.0% -0.28     
10M  40     10     40     40     50     50     -1     -1     0      0      1        0      0.0% -0.06     
10M  40     10     40     50     20     40     -1     0      0      0      1        0      0.0% -0.07     
10M  40     10     40     90     60     30     1      0      0      0      1        0      0.0% -0.07     
10M  40     10     50     10     40     10     -1     0      -1     -1     1        1      100.0% 0.65      
10M  40     10     50     50     10     20     1      0      1      1      1        1      100.0% 0.07      
10M  40     10     70     70     10     20     0      -1     0      0      1        0      0.0% -0.02     
10M  40     10     80     10     10     10     -1     0      -1     -1     1        0      0.0% -0.75     
10M  40     10     80     40     40     50     0      0      1      1      1        1      100.0% 0.50      
10M  40     10     100    60     60     20     -1     1      1      1      1        1      100.0% 0.34      
10M  40     10     100    100    100    100    0      0      0      0      1        1      100.0% 0.19      
10M  40     20     80     60     70     50     0      -1     -1     -1     1        0      0.0% -0.34     
10M  40     30     30     50     90     30     -1     1      0      0      1        1      100.0% 0.08      
10M  40     30     50     10     30     10     1      0      1      1      1        0      0.0% -0.06     
10M  50     10     10     40     100    70     -1     0      -1     -1     1        0      0.0% -0.10     
10M  50     10     10     100    100    10     0      0      0      0      1        0      0.0% -0.25     
10M  50     10     20     10     30     40     0      0      0      0      1        1      100.0% 0.08      
10M  50     10     30     40     30     60     0      0      0      0      1        0      0.0% -0.14     
10M  50     10     40     20     50     30     -1     1      -1     -1     1        1      100.0% 0.39      
10M  50     10     40     30     40     90     -1     0      0      0      1        0      0.0% -0.08     
10M  50     10     50     10     30     20     -1     0      0      0      1        1      100.0% 0.24      
10M  50     10     50     40     30     20     0      -1     0      0      1        0      0.0% -0.04     
10M  50     10     60     10     50     50     -1     -1     0      0      1        0      0.0% -0.06     
10M  50     10     60     50     10     20     0      0      0      0      1        0      0.0% -0.15     
10M  50     10     70     40     30     30     -1     0      0      0      1        1      100.0% 0.31      
10M  50     10     80     10     100    40     0      0      0      0      1        0      0.0% -0.18     
10M  50     10     90     50     30     30     0      -1     0      0      1        0      0.0% -0.10     
10M  50     10     90     70     30     60     0      1      0      0      1        0      0.0% -0.12     
10M  50     10     100    60     90     70     0      0      0      0      1        0      0.0% -0.10     
10M  50     10     100    100    50     50     0      0      0      0      1        1      100.0% 0.11      
10M  50     10     100    100    100    60     0      -1     -1     -1     1        0      0.0% -0.13     
10M  50     20     40     30     30     30     0      0      1      1      1        1      100.0% 0.36      
10M  50     40     70     20     20     50     0      1      0      0      1        0      0.0% -0.03     
10M  60     10     10     40     100    40     0      0      -1     -1     1        0      0.0% -0.24     
10M  60     10     10     100    100    100    0      0      0      0      1        0      0.0% -0.17     
10M  60     10     40     20     40     60     0      0      -1     -1     1        1      100.0% 0.17      
10M  60     10     60     20     10     40     0      1      -1     -1     1        1      100.0% 0.34      
10M  60     10     60     90     10     40     -1     -1     -1     -1     1        0      0.0% -0.20     
10M  60     10     70     70     30     70     -1     -1     0      0      1        1      100.0% 0.18      
10M  60     10     80     20     40     50     1      0      0      0      1        1      100.0% 0.20      
10M  60     10     80     40     10     60     -1     -1     0      0      1        1      100.0% 0.22      
10M  60     10     90     20     20     10     -1     0      1      1      1        1      100.0% 0.17      
10M  60     10     90     50     80     30     0      -1     0      0      1        0      0.0% -0.12     
10M  60     10     100    20     10     60     0      0      0      0      1        1      100.0% 0.08      
10M  60     10     100    30     20     40     1      0      0      0      1        0      0.0% -0.08     
10M  70     10     10     90     100    100    0      0      0      0      1        0      0.0% -0.18     
10M  70     10     40     30     80     90     0      0      -1     -1     1        0      0.0% -0.18     
10M  70     10     60     10     10     20     -1     1      -1     -1     1        1      100.0% 0.03      
10M  70     10     60     10     80     60     0      0      0      0      1        0      0.0% -0.17     
10M  70     10     70     50     20     40     1      1      0      0      1        0      0.0% -0.04     
10M  70     10     90     50     40     10     0      0      0      0      1        0      0.0% -0.10     
10M  70     10     90     70     30     60     1      0      1      1      1        1      100.0% 0.10      
10M  70     10     100    90     80     90     0      -1     0      0      1        1      100.0% 0.22      
10M  70     20     60     10     10     70     -1     0      -1     -1     1        0      0.0% -0.24     
10M  70     40     90     10     80     40     0      -1     1      1      1        1      100.0% 0.01      
10M  80     10     40     10     60     40     0      0      0      0      1        0      0.0% -0.25     
10M  80     10     40     20     80     50     1      0      1      1      1        1      100.0% 0.22      
10M  80     10     40     70     50     80     -1     1      0      0      1        0      0.0% -0.18     
10M  80     10     50     80     40     100    1      0      0      0      1        0      0.0% -0.08     
10M  80     10     70     20     10     90     1      0      0      0      1        1      100.0% 0.02      
10M  80     10     70     30     90     80     -1     0      0      0      1        1      100.0% 0.30      
10M  80     10     100    100    100    100    -1     0      0      0      1        0      0.0% -0.52     
10M  80     40     80     20     10     100    0      0      1      1      1        0      0.0% -0.22     
10M  90     10     10     10     10     20     1      -1     0      0      1        1      100.0% 0.36      
10M  90     10     10     20     10     90     0      0      -1     -1     1        1      100.0% 0.13      
10M  90     10     10     90     100    100    0      0      0      0      1        1      100.0% 0.04      
10M  90     10     10     100    100    100    -1     0      1      1      1        0      0.0% -0.62     
10M  90     10     20     90     50     60     0      0      0      0      1        1      100.0% 0.15      
10M  90     10     40     50     100    100    0      0      0      0      1        0      0.0% -0.17     
10M  90     10     40     70     20     70     0      0      0      0      1        0      0.0% -0.13     
10M  90     10     50     10     10     60     -1     0      -1     -1     1        0      0.0% -0.35     
10M  90     10     50     20     20     80     0      0      -1     -1     1        0      0.0% -0.08     
10M  100    10     10     10     100    100    1      0      0      0      1        0      0.0% -0.23     
10M  100    10     20     60     50     60     1      0      0      0      1        0      0.0% -0.11     
10M  100    10     30     10     20     60     -1     0      0      0      1        0      0.0% -0.21     
10M  100    10     30     50     80     100    -1     0      -1     -1     1        0      0.0% -0.46     
10M  100    10     40     10     40     50     -1     0      0      0      1        1      100.0% 0.03      
10M  100    10     40     30     90     60     0      0      0      0      1        1      100.0% 0.02      
10M  100    10     40     40     100    100    0      0      0      0      1        0      0.0% -0.19     
10M  100    10     40     50     100    50     -1     0      0      0      1        0      0.0% -0.10     
10M  100    10     50     10     60     100    0      1      0      0      1        1      100.0% 0.02      
10M  100    10     50     30     10     90     0      0      0      0      1        0      0.0% -0.04     
10M  100    10     50     30     70     100    -1     0      0      0      1        0      0.0% -0.14     
10M  100    10     50     50     30     40     -1     1      -1     -1     1        1      100.0% 0.10      
10M  100    10     60     10     20     90     -1     1      0      0      1        1      100.0% 0.40      
10M  100    10     60     30     10     30     -1     -1     0      0      1        0      0.0% -0.11     
10M  100    10     60     30     40     80     0      -1     0      0      1        0      0.0% -0.19     
10M  100    10     60     40     40     90     -1     1      0      0      1        1      100.0% 0.24      
10M  100    10     60     50     10     90     0      0      0      0      1        0      0.0% -0.14     
10M  100    10     70     40     10     90     0      0      0      0      1        0      0.0% -0.25     
10M  100    10     70     50     10     100    0      0      -1     -1     1        1      100.0% 0.29      
10M  100    10     70     50     20     100    -1     0      -1     -1     1        0      0.0% -0.12     
10M  100    10     80     60     100    100    0      -1     0      0      1        1      100.0% 0.31      
10M  100    10     80     70     100    100    1      0      0      0      1        1      100.0% 0.05      
10M  100    10     90     60     100    100    0      -1     -1     -1     1        0      0.0% -0.53     
10M  100    10     90     100    100    80     0      0      1      1      1        0      0.0% -0.40     
10M  100    10     100    80     100    100    1      0      1      1      1        0      0.0% -0.28     
10M  100    10     100    100    100    100    0      -1     0      0      1        0      0.0% -0.45     
10M  100    20     60     30     30     50     -1     0      1      1      1        1      100.0% 0.24      
10M  100    20     70     20     10     90     0      -1     -1     -1     1        0      0.0% -0.32     
10M  100    30     100    100    100    100    0      0      0      0      1        0      0.0% -0.75     
10M  100    50     100    10     20     100    1      -1     0      0      1        1      100.0% 0.29      
10M  100    70     80     80     100    100    0      -1     1      1      1        0      0.0% -0.56     
10M  100    80     100    100    100    100    1      0      1      1      1        1      100.0% 0.66      
15M  10     10     10     100    30     30     0      0      0      0      1        0      0.0% -0.04     
15M  20     10     60     10     10     10     0      0      0      0      1        0      0.0% -0.05     
15M  20     10     60     10     10     20     0      -1     -1     -1     1        1      100.0% 0.07      
15M  30     10     30     10     20     10     0      0      -1     -1     1        0      0.0% -0.04     
15M  30     10     30     70     30     20     -1     0      1      1      1        0      0.0% -0.07     
15M  30     10     30     90     50     40     0      0      0      0      1        0      0.0% -0.07     
15M  30     10     40     40     50     40     0      -1     1      1      1        0      0.0% -0.00     
15M  30     10     80     60     90     50     0      -1     0      0      1        0      0.0% -0.46     
15M  30     10     80     70     50     50     0      0      1      1      1        0      0.0% -0.03     
