=== DECILE_WINRATE_REPORT ===
Generated: 2026-03-28 14:29:40
ST   ATR    Vol    RSI    ADX    EMA    BBW    R_BSP  B_BSP  RT_BSP S_BSP  Total    Wins   Win Rate   PnL       
15M  30     10     100    60     30     10     0      -1     -1     -1     1        1      100.0% 0.16      
15M  30     50     10     70     80     40     0      0      1      1      1        0      0.0% -0.43     
15M  40     10     30     60     40     40     0      1      0      0      1        0      0.0% -0.06     
15M  40     10     40     50     80     80     0      1      1      1      1        0      0.0% -0.36     
15M  40     10     50     10     10     20     0      0      0      0      1        0      0.0% -0.07     
15M  40     10     50     20     10     80     0      0      0      0      1        1      100.0% 0.24      
15M  40     10     60     20     20     10     1      0      0      0      1        1      100.0% 0.78      
15M  40     10     60     20     30     10     0      0      1      1      1        0      0.0% -0.05     
15M  40     10     70     30     20     30     1      -1     0      0      1        1      100.0% 0.24      
15M  50     10     30     60     30     10     -1     0      1      1      1        1      100.0% 0.05      
15M  50     10     50     30     50     60     0      -1     0      0      1        0      0.0% -0.08     
15M  50     10     60     30     10     70     -1     -1     1      1      1        0      0.0% -0.35     
15M  50     10     80     80     70     60     0      -1     -1     -1     1        0      0.0% -0.19     
15M  50     10     100    20     100    80     0      0      0      0      1        0      0.0% -0.05     
15M  50     20     30     50     50     20     0      1      -1     -1     1        1      100.0% 0.67      
15M  50     20     50     60     100    60     1      0      1      1      1        0      0.0% -0.03     
15M  50     20     80     70     40     20     -1     0      1      1      1        0      0.0% -0.61     
15M  50     60     20     50     60     70     0      0      -1     -1     1        1      100.0% 0.62      
15M  60     10     60     10     30     60     1      0      1      1      1        0      0.0% -0.32     
15M  60     10     60     40     10     30     -1     0      0      0      1        1      100.0% 0.20      
15M  60     10     70     20     50     70     0      0      0      0      1        1      100.0% 0.13      
15M  60     10     70     20     60     100    1      0      0      0      1        0      0.0% -0.09     
15M  60     10     70     40     90     40     -1     -1     -1     -1     1        0      0.0% -0.38     
15M  60     20     100    100    100    100    -1     0      0      0      1        0      0.0% -0.39     
15M  70     10     10     70     50     70     0      0      1      1      1        0      0.0% -0.10     
15M  70     10     80     30     50     60     0      0      0      0      1        1      100.0% 0.24      
15M  80     10     10     100    100    100    1      1      0      0      1        0      0.0% -0.33     
15M  80     30     80     40     20     50     1      1      -1     -1     1        0      0.0% -0.15     
15M  90     10     30     20     20     100    1      0      0      0      1        1      100.0% 0.18      
15M  90     10     30     40     30     50     -1     -1     0      0      1        0      0.0% -0.07     
15M  90     10     50     90     50     20     0      0      0      0      1        1      100.0% 0.04      
15M  90     10     60     60     10     60     0      -1     0      0      1        1      100.0% 0.20      
15M  90     10     70     30     10     40     1      0      0      0      1        0      0.0% -0.09     
15M  90     20     40     10     30     60     -1     0      -1     -1     1        0      0.0% -0.14     
15M  100    10     10     100    100    100    -1     0      0      0      1        0      0.0% -0.38     
15M  100    10     30     40     100    100    0      0      0      0      1        0      0.0% -0.62     
15M  100    10     30     100    70     100    -1     1      -1     -1     1        0      0.0% -0.24     
15M  100    10     50     10     100    100    0      0      0      0      1        0      0.0% -0.40     
15M  100    10     60     10     10     80     -1     0      0      0      1        0      0.0% -0.19     
15M  100    10     60     10     10     80     1      -1     0      0      1        1      100.0% 0.21      
15M  100    10     60     30     10     70     -1     0      0      0      1        0      0.0% -0.16     
15M  100    10     60     30     10     70     1      0      -1     -1     1        1      100.0% 0.22      
15M  100    10     60     30     30     80     -1     0      0      0      1        0      0.0% -0.29     
15M  100    10     70     30     10     100    -1     0      0      0      1        1      100.0% 0.09      
15M  100    10     80     30     30     100    1      0      0      0      1        1      100.0% 0.08      
15M  100    10     80     60     100    100    0      0      1      1      1        0      0.0% -0.55     
15M  100    10     90     10     100    50     1      0      0      0      1        0      0.0% -0.37     
15M  100    10     90     70     100    80     1      0      0      0      1        0      0.0% -0.06     
15M  100    10     90     70     100    100    -1     -1     0      0      1        1      100.0% 0.09      
15M  100    10     100    90     100    100    0      1      0      0      1        0      0.0% -0.48     
15M  100    10     100    100    100    100    0      -1     -1     -1     1        0      0.0% -0.49     
15M  100    20     20     20     10     50     1      0      -1     -1     1        1      100.0% 0.26      
15M  100    20     40     30     100    100    -1     1      -1     -1     1        0      0.0% -0.47     
15M  100    20     50     50     20     100    0      0      0      0      1        0      0.0% -0.18     
15M  100    20     70     20     100    90     0      1      0      0      1        0      0.0% -0.05     
15M  100    20     80     50     100    100    0      -1     0      0      1        1      100.0% 0.04      
15M  100    30     40     10     30     80     0      -1     -1     -1     1        0      0.0% -0.33     
15M  100    40     70     10     30     100    -1     1      -1     -1     1        0      0.0% -0.17     
15M  100    50     60     30     20     70     1      0      0      0      1        1      100.0% 0.26      
15M  100    50     100    90     100    100    -1     -1     -1     -1     1        0      0.0% -0.42     
20M  30     20     50     20     20     20     -1     0      0      0      1        0      0.0% -0.07     
20M  40     10     20     40     10     30     -1     -1     1      1      1        0      0.0% -0.04     
20M  40     10     60     30     10     40     0      0      0      0      1        0      0.0% -0.06     
20M  40     80     10     100    100    50     0      0      0      0      1        0      0.0% -0.43     
20M  50     20     40     20     20     20     1      0      1      1      1        1      100.0% 0.05      
20M  50     30     90     20     40     40     1      0      1      1      1        0      0.0% -0.20     
20M  60     10     40     20     30     50     1      -1     1      1      1        1      100.0% 0.24      
20M  60     10     50     10     10     40     1      0      -1     -1     1        0      0.0% -0.44     
20M  60     10     60     10     30     40     1      0      1      1      1        0      0.0% -0.32     
20M  70     10     60     40     80     60     -1     -1     0      0      1        1      100.0% 0.42      
20M  70     10     100    90     70     60     1      0      0      0      1        0      0.0% -0.65     
20M  80     10     40     40     80     90     1      0      1      1      1        1      100.0% 0.02      
20M  80     10     50     40     60     100    1      0      0      0      1        0      0.0% -0.10     
20M  80     20     50     10     20     40     1      0      -1     -1     1        0      0.0% -0.26     
20M  80     20     60     40     90     80     0      1      1      1      1        1      100.0% 0.03      
20M  90     10     10     80     100    40     -1     0      0      0      1        1      100.0% 0.14      
20M  90     10     50     90     10     50     0      0      0      0      1        0      0.0% -0.10     
20M  90     10     70     40     20     50     -1     -1     -1     -1     1        1      100.0% 0.01      
20M  90     10     90     100    100    60     0      0      0      0      1        0      0.0% -0.30     
20M  90     10     100    100    90     100    0      0      1      1      1        0      0.0% -0.53     
20M  90     30     80     30     20     40     1      0      -1     -1     1        0      0.0% -0.15     
20M  90     40     50     40     40     40     1      -1     1      1      1        1      100.0% 0.34      
20M  100    10     20     70     100    100    -1     0      0      0      1        0      0.0% -0.15     
20M  100    10     40     40     40     50     0      0      0      0      1        0      0.0% -0.13     
20M  100    10     60     30     10     90     -1     1      1      1      1        0      0.0% -0.49     
20M  100    10     70     10     70     70     1      0      0      0      1        1      100.0% 0.33      
20M  100    10     70     50     30     80     -1     1      -1     -1     1        0      0.0% -0.16     
20M  100    10     80     10     90     100    1      0      1      1      1        1      100.0% 0.21      
20M  100    10     90     90     100    100    -1     0      0      0      1        0      0.0% -0.18     
20M  100    10     100    90     100    100    -1     1      1      1      1        1      100.0% 0.04      
20M  100    20     20     60     100    100    -1     1      1      1      1        0      0.0% -0.51     
20M  100    20     80     10     90     90     0      1      0      0      1        0      0.0% -0.05     
20M  100    20     90     70     100    100    0      -1     -1     -1     1        0      0.0% -0.57     
20M  100    40     90     90     100    100    0      0      -1     -1     1        0      0.0% -0.31     
20M  100    50     90     10     100    50     0      1      1      1      1        1      100.0% 0.44      
20M  100    50     90     90     70     70     0      0      0      0      1        0      0.0% -0.38     
25M  30     10     60     20     20     20     1      0      0      0      1        0      0.0% -0.21     
25M  60     10     10     20     30     30     -1     0      0      0      1        1      100.0% 0.03      
25M  60     20     60     10     30     30     1      0      -1     -1     1        0      0.0% -0.19     
25M  80     10     20     40     80     50     1      1      -1     -1     1        1      100.0% 0.07      
25M  80     10     60     20     20     50     -1     0      0      0      1        0      0.0% -0.38     
25M  90     10     40     10     80     80     0      1      1      1      1        0      0.0% -0.45     
25M  100    10     30     60     90     50     0      0      -1     -1     1        1      100.0% 0.14      
25M  100    10     100    90     90     70     0      -1     0      0      1        1      100.0% 0.25      
25M  100    20     80     60     100    100    1      0      1      1      1        1      100.0% 0.09      
25M  100    20     80     90     100    100    0      -1     0      0      1        0      0.0% -0.48     
25M  100    20     90     70     100    100    0      0      1      1      1        0      0.0% -0.35     
25M  100    30     60     20     20     90     0      0      1      1      1        1      100.0% 0.27      
25M  100    40     50     40     10     70     -1     -1     -1     -1     1        0      0.0% -0.17     
25M  100    50     60     30     20     60     -1     0      -1     -1     1        0      0.0% -0.41     
25M  100    80     90     80     100    100    0      -1     -1     -1     1        0      0.0% -0.38     
25M  100    100    70     40     100    100    -1     0      -1     -1     1        0      0.0% -0.07     
5M   10     10     10     10     10     10     -1     0      0      0      1        0      0.0% -0.05     
5M   10     10     10     10     10     20     0      0      -1     -1     1        0      0.0% -0.11     
5M   10     10     10     10     10     20     0      0      0      0      1        0      0.0% -0.11     
5M   10     10     10     10     30     10     1      0      -1     -1     1        1      100.0% 0.36      
5M   10     10     10     10     40     20     -1     0      0      0      1        0      0.0% -0.17     
5M   10     10     10     10     100    100    -1     0      0      0      1        0      0.0% -0.06     
5M   10     10     10     40     20     20     0      0      0      0      1        1      100.0% 0.20      
5M   10     10     10     40     30     40     0      0      0      0      1        1      100.0% 0.05      
5M   10     10     10     40     50     10     -1     1      1      1      1        1      100.0% 0.04      
5M   10     10     10     50     20     10     -1     -1     0      0      1        1      100.0% 0.01      
5M   10     10     10     50     30     10     0      0      0      0      1        0      0.0% -0.08     
5M   10     10     10     50     30     30     0      0      0      0      1        1      100.0% 0.02      
5M   10     10     10     50     60     10     -1     0      0      0      1        1      100.0% 0.10      
5M   10     10     10     60     10     20     0      1      0      0      1        1      100.0% 0.03      
5M   10     10     10     60     20     10     -1     0      0      0      1        0      0.0% -0.09     
5M   10     10     10     70     30     30     -1     1      0      0      1        1      100.0% 0.06      
5M   10     10     10     80     20     10     -1     0      -1     -1     1        1      100.0% 0.01      
5M   10     10     10     80     20     10     -1     1      0      0      1        1      100.0% 0.15      
5M   10     10     10     80     30     20     0      0      0      0      1        0      0.0% -0.08     
5M   10     10     10     80     40     20     -1     0      0      0      1        1      100.0% 0.11      
5M   10     10     10     100    10     10     0      -1     -1     -1     1        1      100.0% 0.06      
5M   10     10     10     100    10     10     0      0      0      0      5        0      0.0% -0.26     
5M   10     10     10     100    10     10     0      1      -1     -1     1        1      100.0% 0.31      
5M   10     10     10     100    10     10     0      1      0      0      1        1      100.0% 0.06      
5M   10     10     10     100    10     20     0      0      0      0      1        0      0.0% -0.08     
5M   10     10     10     100    20     10     0      0      0      0      5        2      40.0% 0.21      
5M   10     10     10     100    20     20     0      0      0      0      2        2      100.0% 0.11      
5M   10     10     10     100    20     20     0      1      0      0      1        0      0.0% -0.07     
5M   10     10     10     100    20     30     0      0      -1     -1     1        0      0.0% -0.07     
5M   10     10     10     100    20     30     0      0      0      0      2        1      50.0% -0.02     
5M   10     10     10     100    20     40     0      0      0      0      1        0      0.0% -0.14     
5M   10     10     10     100    30     10     -1     0      0      0      1        1      100.0% 0.11      
5M   10     10     10     100    30     10     0      -1     0      0      1        0      0.0% -0.32     
5M   10     10     10     100    30     10     0      0      0      0      3        0      0.0% -0.20     
5M   10     10     10     100    30     20     0      0      0      0      2        1      50.0% 0.08      
5M   10     10     10     100    30     20     0      1      0      0      1        1      100.0% 0.05      
5M   10     10     10     100    30     30     0      0      0      0      1        0      0.0% -0.06     
5M   10     10     10     100    30     70     0      0      0      0      1        1      100.0% 0.05      
5M   10     10     10     100    30     80     0      0      1      1      1        0      0.0% -0.13     
5M   10     10     10     100    40     10     0      0      0      0      2        0      0.0% -0.23     
5M   10     10     10     100    40     20     0      0      0      0      1        1      100.0% 0.00      
5M   10     10     10     100    40     30     0      0      0      0      1        0      0.0% -0.12     
5M   10     10     10     100    40     90     -1     0      0      0      1        0      0.0% -0.06     
5M   10     10     10     100    50     20     0      0      0      0      1        0      0.0% -0.17     
5M   10     10     10     100    50     30     0      0      0      0      1        0      0.0% -0.16     
5M   10     10     10     100    50     40     -1     0      0      0      1        1      100.0% 0.02      
5M   10     10     10     100    50     80     0      0      0      0      1        0      0.0% -0.14     
5M   10     10     10     100    60     30     0      0      0      0      1        0      0.0% -0.08     
5M   10     10     10     100    70     20     0      0      0      0      1        0      0.0% -0.06     
5M   10     10     10     100    70     50     0      0      0      0      1        0      0.0% -0.05     
5M   10     10     10     100    70     100    0      0      0      0      1        1      100.0% 0.09      
5M   10     10     10     100    100    60     0      0      -1     -1     1        0      0.0% -0.32     
5M   10     10     10     100    100    60     0      0      0      0      1        0      0.0% -0.18     
5M   10     10     10     100    100    100    -1     1      -1     -1     1        0      0.0% -0.44     
5M   10     10     20     20     10     10     -1     -1     0      0      1        1      100.0% 0.15      
5M   10     10     20     40     20     10     0      1      0      0      1        0      0.0% -0.05     
5M   10     10     20     40     40     20     -1     1      1      1      1        0      0.0% -0.14     
5M   10     10     20     50     10     20     0      0      0      0      1        0      0.0% -0.11     
5M   10     10     20     50     20     20     0      1      0      0      1        0      0.0% -0.04     
5M   10     10     20     60     20     10     0      0      0      0      1        1      100.0% 0.46      
5M   10     10     20     60     50     10     0      1      0      0      1        0      0.0% -0.10     
5M   10     10     20     70     20     20     -1     0      1      1      1        0      0.0% -0.12     
5M   10     10     20     80     10     10     0      0      0      0      1        0      0.0% -0.08     
5M   10     10     20     80     20     10     0      1      0      0      1        0      0.0% -0.10     
5M   10     10     20     80     20     20     0      0      0      0      1        0      0.0% -0.05     
5M   10     10     20     100    20     20     0      0      0      0      1        0      0.0% -0.04     
5M   10     10     30     10     10     10     0      0      0      0      1        0      0.0% -0.08     
5M   10     10     30     10     40     50     0      0      0      0      1        0      0.0% -0.07     
5M   10     10     30     10     60     50     -1     0      -1     -1     1        1      100.0% 0.38      
5M   10     10     30     10     100    10     -1     0      0      0      1        0      0.0% -0.06     
5M   10     10     30     20     10     10     0      0      0      0      1        1      100.0% 0.10      
5M   10     10     30     30     10     10     -1     0      0      0      1        1      100.0% 0.06      
5M   10     10     30     30     10     20     0      0      0      0      1        0      0.0% -0.09     
5M   10     10     30     30     10     30     0      0      0      0      1        0      0.0% -0.09     
5M   10     10     30     30     30     10     0      0      0      0      1        1      100.0% 0.11      
5M   10     10     30     40     10     20     0      0      0      0      1        0      0.0% -0.10     
5M   10     10     30     40     20     10     -1     0      -1     -1     1        0      0.0% -0.23     
5M   10     10     30     40     20     10     -1     1      -1     -1     1        0      0.0% -0.17     
5M   10     10     30     50     50     20     -1     1      0      0      1        1      100.0% 0.05      
5M   10     10     30     60     20     10     0      0      0      0      2        1      50.0% -0.04     
5M   10     10     30     60     20     10     1      0      0      0      1        0      0.0% -0.08     
5M   10     10     30     60     30     20     0      0      0      0      1        0      0.0% -0.05     
5M   10     10     30     100    10     10     0      0      -1     -1     1        1      100.0% 0.00      
5M   10     10     30     100    10     10     0      0      0      0      1        0      0.0% -0.04     
5M   10     10     30     100    10     40     0      0      0      0      1        0      0.0% -0.05     
5M   10     10     30     100    20     40     0      0      0      0      1        1      100.0% 0.01      
5M   10     10     40     10     10     10     -1     -1     0      0      1        1      100.0% 0.00      
5M   10     10     40     10     10     10     0      -1     0      0      1        1      100.0% 0.10      
5M   10     10     40     10     10     20     -1     0      0      0      1        1      100.0% 0.00      
5M   10     10     40     10     30     10     0      0      0      0      1        0      0.0% -0.12     
5M   10     10     40     20     10     20     -1     0      0      0      1        1      100.0% 0.06      
5M   10     10     40     20     10     20     -1     1      1      1      1        0      0.0% -0.19     
5M   10     10     40     20     10     20     0      0      0      0      1        1      100.0% 0.06      
5M   10     10     40     20     20     10     -1     1      -1     -1     1        0      0.0% -0.23     
5M   10     10     40     20     60     40     0      0      0      0      1        0      0.0% -0.20     
5M   10     10     40     30     10     10     0      0      1      1      1        0      0.0% -0.09     
