=== DECILE_WINRATE_REPORT ===
Generated: 2026-03-28 01:51:15
ST   ATR    Vol    RSI    ADX    EMA    BBW    R_BSP  B_BSP  RT_BSP S_BSP  Total    Wins   Win Rate   PnL       
-----------------------------------------------------------------------------------------------------------------
5M   10     10     10     10     10     10     0      0      0      0      1        0      0.0% -0.18     
5M   10     10     10     20     30     10     -1     0      0      0      1        0      0.0% -0.25     
5M   10     10     10     20     80     10     -1     0      0      0      1        0      0.0% -0.24     
5M   10     10     10     80     50     10     1      0      0      0      1        0      0.0% -0.31     
5M   10     10     10     100    10     10     0      0      0      0      1        1      100.0% 246.87    
5M   10     10     10     100    10     20     0      1      0      0      1        0      0.0% -13.53    
5M   10     10     10     100    10     100    0      0      0      0      1        0      0.0% -14.57    
5M   10     10     10     100    30     10     0      1      1      1      1        0      0.0% -29.61    
5M   10     10     10     100    60     10     0      0      0      0      1        0      0.0% -0.98     
5M   10     10     10     100    70     30     0      0      0      0      1        0      0.0% -6.94     
5M   10     10     10     100    100    10     0      0      1      1      1        0      0.0% -0.63     
5M   10     10     10     100    100    100    -1     0      0      0      1        0      0.0% -0.98     
5M   10     10     20     100    50     20     1      0      1      1      1        0      0.0% -0.27     
5M   10     10     30     20     10     10     0      0      0      0      1        0      0.0% -14.58    
5M   10     10     30     20     20     10     0      0      0      0      1        0      0.0% -0.79     
5M   10     10     30     30     70     10     -1     1      0      0      1        0      0.0% -0.31     
5M   10     10     40     60     50     10     0      0      0      0      1        0      0.0% -9.36     
5M   10     10     40     100    10     10     0      1      0      0      1        1      100.0% 1389.50   
5M   10     10     50     10     10     10     0      0      0      0      1        0      0.0% -0.54     
5M   10     10     50     10     20     20     0      0      0      0      1        1      100.0% 1272.21   
5M   10     10     50     10     40     50     0      0      0      0      1        1      100.0% 1413.87   
5M   10     10     50     10     40     100    0      0      0      0      1        0      0.0% -14.16    
5M   10     10     50     30     50     60     0      0      0      0      1        0      0.0% -1.15     
5M   10     10     50     80     10     30     0      0      0      0      1        0      0.0% -12.48    
5M   10     10     60     50     20     10     0      0      0      0      1        0      0.0% -6.92     
5M   10     10     70     10     10     10     0      0      0      0      1        0      0.0% -6.65     
5M   10     10     70     10     20     20     0      0      0      0      1        0      0.0% -14.59    
5M   10     10     80     50     10     10     1      0      0      0      1        0      0.0% -29.60    
5M   10     10     90     10     10     10     0      0      0      0      1        0      0.0% -14.40    
5M   10     10     100    10     10     10     0      0      0      0      1        0      0.0% -1.19     
5M   10     10     100    10     10     10     1      1      0      0      1        0      0.0% -6.27     
5M   10     10     100    10     10     40     -1     0      0      0      1        0      0.0% -0.51     
5M   10     10     100    10     10     50     0      0      0      0      1        0      0.0% -13.53    
5M   10     10     100    10     100    100    0      0      1      1      1        1      100.0% 1.94      
5M   10     10     100    30     50     30     0      0      0      0      1        0      0.0% -2.55     
5M   10     10     100    70     100    20     1      -1     0      0      1        0      0.0% -38.59    
5M   10     10     100    80     10     20     0      0      0      0      1        0      0.0% -14.59    
5M   10     10     100    90     100    70     1      0      0      0      1        0      0.0% -6.72     
