=== DECILE_WINRATE_REPORT ===
Generated: 2026-03-27 21:57:18
ST   ATR    Vol    RSI    ADX    EMA    BBW    R_BSP  B_BSP  RT_BSP S_BSP  Total    Wins   Win Rate   PnL       
-----------------------------------------------------------------------------------------------------------------
10M  10     10     20     10     10     10     0      1      0      0      1        0      0.0% -0.03     
10M  10     10     90     100    20     10     1      -1     0      0      1        0      0.0% -0.16     
10M  20     20     70     10     10     10     1      0      -1     -1     1        1      100.0% 0.78      
10M  30     10     60     40     10     10     0      0      0      0      1        0      0.0% -0.56     
10M  30     10     70     30     50     10     0      0      0      0      1        0      0.0% -0.43     
10M  30     10     100    100    30     10     1      0      1      1      1        0      0.0% -0.46     
10M  40     10     40     80     40     90     1      0      0      0      1        0      0.0% -0.27     
10M  40     10     90     30     60     10     1      0      1      1      1        0      0.0% -0.22     
10M  50     10     100    40     60     50     0      0      0      0      1        0      0.0% -0.17     
10M  60     10     60     70     30     30     -1     0      1      1      1        0      0.0% -0.45     
10M  100    10     50     40     10     10     0      0      -1     -1     1        0      0.0% -0.40     
10M  100    10     100    100    100    100    1      -1     -1     -1     1        1      100.0% 1.35      
10M  100    30     40     10     40     10     1      0      1      1      1        0      0.0% -0.23     
10M  100    60     100    100    100    100    -1     0      1      1      1        0      0.0% -0.71     
15M  100    20     10     40     100    80     0      0      1      1      1        1      100.0% 0.15      
5M   10     10     10     10     10     10     -1     0      0      0      1        0      0.0% -0.61     
5M   10     10     10     10     10     10     -1     0      1      1      1        0      0.0% -0.66     
5M   10     10     10     10     10     10     0      -1     0      0      1        0      0.0% -0.71     
5M   10     10     10     10     10     10     1      0      0      0      1        1      100.0% 0.02      
5M   10     10     10     10     50     20     0      0      0      0      1        0      0.0% -0.22     
5M   10     10     10     10     70     20     -1     -1     0      0      1        0      0.0% -0.08     
5M   10     10     10     10     100    20     0      0      0      0      1        0      0.0% -0.36     
5M   10     10     10     30     10     10     0      0      0      0      1        0      0.0% -0.12     
5M   10     10     10     30     10     20     0      0      0      0      1        1      100.0% 0.10      
5M   10     10     10     60     10     10     0      0      0      0      1        0      0.0% -0.29     
5M   10     10     10     70     10     10     0      1      0      0      1        0      0.0% -0.34     
5M   10     10     10     70     30     10     1      0      0      0      1        0      0.0% -0.51     
5M   10     10     10     80     10     10     -1     0      0      0      1        1      100.0% 0.63      
5M   10     10     10     80     20     10     -1     1      0      0      1        0      0.0% -0.19     
5M   10     10     10     90     10     10     -1     0      0      0      1        0      0.0% -0.44     
5M   10     10     10     90     40     30     0      0      0      0      1        1      100.0% 0.20      
5M   10     10     10     90     40     40     0      0      0      0      1        0      0.0% -0.56     
5M   10     10     10     100    10     10     -1     0      0      0      1        0      0.0% -0.36     
5M   10     10     10     100    10     10     0      0      0      0      1        0      0.0% -0.79     
5M   10     10     10     100    10     10     0      1      0      0      1        0      0.0% -0.63     
5M   10     10     10     100    20     10     0      0      0      0      1        0      0.0% -0.41     
5M   10     10     10     100    20     10     1      0      0      0      1        0      0.0% -0.29     
5M   10     10     10     100    40     10     0      0      0      0      1        0      0.0% -0.28     
5M   10     10     10     100    90     10     -1     0      0      0      1        1      100.0% 0.23      
5M   10     10     10     100    100    20     0      0      0      0      1        0      0.0% -0.26     
5M   10     10     20     10     10     10     -1     0      -1     -1     1        1      100.0% 0.24      
5M   10     10     20     40     10     10     0      0      0      0      1        0      0.0% -0.96     
5M   10     10     20     50     10     10     1      0      -1     -1     1        1      100.0% 0.49      
5M   10     10     20     70     40     10     -1     0      0      0      1        0      0.0% -0.38     
5M   10     10     30     10     10     10     -1     -1     1      1      1        1      100.0% 0.65      
5M   10     10     30     10     10     10     0      0      0      0      1        0      0.0% -0.25     
5M   10     10     30     10     90     100    1      0      0      0      1        1      100.0% 0.05      
5M   10     10     30     20     10     10     1      -1     1      1      1        1      100.0% 0.18      
5M   10     10     30     30     10     20     0      0      0      0      1        1      100.0% 0.69      
5M   10     10     30     60     40     10     0      0      1      1      1        0      0.0% -0.07     
5M   10     10     30     60     80     10     0      0      0      0      1        0      0.0% -0.72     
5M   10     10     40     10     10     10     -1     0      -1     -1     1        0      0.0% -0.10     
5M   10     10     40     10     80     100    -1     1      0      0      1        0      0.0% -0.18     
5M   10     10     40     30     10     10     1      0      1      1      1        1      100.0% 0.12      
5M   10     10     40     50     20     10     1      0      -1     -1     1        1      100.0% 0.40      
5M   10     10     40     50     30     60     0      0      0      0      1        0      0.0% -0.28     
5M   10     10     40     60     10     10     -1     0      0      0      1        0      0.0% -0.19     
5M   10     10     40     100    30     10     0      0      0      0      1        0      0.0% -0.62     
5M   10     10     50     10     10     10     0      0      0      0      1        0      0.0% -0.51     
5M   10     10     50     10     10     10     1      0      0      0      2        0      0.0% -0.87     
5M   10     10     50     10     30     20     0      0      0      0      1        0      0.0% -0.41     
5M   10     10     50     20     10     10     0      0      0      0      1        0      0.0% -0.30     
5M   10     10     60     10     10     10     0      0      0      0      1        0      0.0% -0.38     
5M   10     10     60     10     10     10     0      1      1      1      1        0      0.0% -0.08     
5M   10     10     60     10     10     10     1      0      0      0      1        0      0.0% -0.04     
5M   10     10     60     10     10     10     1      1      0      0      1        1      100.0% 0.07      
5M   10     10     60     30     10     10     1      0      -1     -1     1        0      0.0% -0.31     
5M   10     10     60     50     10     10     -1     0      0      0      1        0      0.0% -0.17     
5M   10     10     60     60     10     10     1      0      1      1      1        0      0.0% -0.46     
5M   10     10     60     100    20     10     -1     1      1      1      1        0      0.0% -0.46     
5M   10     10     70     10     10     10     0      0      0      0      1        0      0.0% -0.65     
5M   10     10     70     60     10     10     0      0      0      0      1        0      0.0% -0.24     
5M   10     10     70     60     20     10     0      0      0      0      1        0      0.0% -0.45     
5M   10     10     70     60     20     10     1      0      0      0      1        0      0.0% -0.40     
5M   10     10     80     30     20     10     -1     1      1      1      1        0      0.0% -0.49     
5M   10     10     80     40     10     10     0      -1     0      0      1        0      0.0% -0.76     
5M   10     10     80     60     30     10     0      0      0      0      1        1      100.0% 0.54      
5M   10     10     90     10     10     10     -1     0      0      0      1        0      0.0% -0.15     
