=== DECILE_WINRATE_REPORT ===
Generated: 2026-03-24 01:43:35
ST   ATR    Vol    RSI    ADX    EMA    BBW    R_BSP  B_BSP  RT_BSP S_BSP  Total    Wins   Win Rate   PnL       
-----------------------------------------------------------------------------------------------------------------
10M  30     20     10     70     40     40     0      1      0      0      1        1      100.0% 0.12      
10M  30     20     10     80     50     20     0      1      1      1      1        0      0.0% -0.98     
10M  30     20     40     40     60     40     0      0      -1     -1     1        1      100.0% 0.16      
10M  30     20     50     40     30     20     0      0      -1     -1     1        1      100.0% 0.93      
10M  30     20     70     40     20     40     1      0      1      1      1        0      0.0% -0.40     
10M  30     20     70     40     30     20     0      1      0      0      1        0      0.0% -0.07     
10M  30     30     50     50     20     10     0      0      -1     -1     1        1      100.0% 0.25      
10M  30     40     20     70     70     30     0      0      1      1      1        0      0.0% -0.74     
10M  40     20     20     70     60     40     1      0      1      1      1        1      100.0% 0.05      
10M  40     20     30     80     100    60     0      1      1      1      1        0      0.0% -0.77     
10M  40     20     40     30     20     20     -1     0      -1     -1     1        0      0.0% -0.24     
10M  40     20     80     60     80     50     -1     0      -1     -1     1        0      0.0% -0.58     
10M  40     20     80     80     60     50     1      -1     0      0      1        0      0.0% -0.14     
10M  40     20     100    60     60     40     0      0      1      1      1        1      100.0% 0.00      
10M  40     30     10     30     70     70     -1     0      -1     -1     1        1      100.0% 0.14      
10M  40     30     10     60     80     60     0      1      -1     -1     1        1      100.0% 0.34      
10M  40     30     50     30     20     70     1      0      -1     -1     1        0      0.0% -0.43     
10M  40     30     70     10     20     10     1      1      0      0      1        1      100.0% 0.11      
10M  40     40     40     50     80     30     -1     1      0      0      1        1      100.0% 0.12      
10M  40     40     50     30     40     20     -1     0      -1     -1     1        0      0.0% -0.15     
10M  40     50     10     80     80     40     1      1      0      0      1        0      0.0% -0.88     
10M  50     20     10     40     50     100    1      1      -1     -1     1        0      0.0% -0.48     
10M  50     20     10     70     60     40     0      0      -1     -1     1        1      100.0% 0.56      
10M  50     20     20     50     60     30     1      0      -1     -1     1        1      100.0% 0.24      
10M  50     20     20     80     90     100    0      1      0      0      1        1      100.0% 0.21      
10M  50     20     30     50     100    50     -1     1      0      0      1        1      100.0% 0.66      
10M  50     20     80     40     40     50     0      1      1      1      1        0      0.0% -0.09     
10M  50     20     90     60     60     40     1      -1     1      1      1        0      0.0% -0.30     
10M  50     20     100    70     100    90     0      1      1      1      1        1      100.0% 0.09      
10M  50     20     100    100    80     60     0      -1     0      0      1        0      0.0% -0.45     
10M  50     30     80     60     50     40     0      -1     1      1      1        1      100.0% 0.04      
10M  50     30     100    90     80     50     0      0      -1     -1     1        0      0.0% -0.97     
10M  50     30     100    90     100    100    1      -1     -1     -1     1        0      0.0% -0.22     
10M  50     40     60     10     20     20     -1     1      -1     -1     1        1      100.0% 0.08      
10M  50     50     10     40     20     30     0      1      0      0      1        1      100.0% 0.42      
10M  60     20     20     70     90     70     1      0      -1     -1     1        1      100.0% 0.98      
10M  60     20     20     90     80     40     -1     -1     0      0      1        0      0.0% -0.22     
10M  60     20     40     40     70     50     0      0      1      1      1        0      0.0% -0.45     
10M  60     20     40     40     90     70     -1     1      0      0      1        1      100.0% 0.46      
10M  60     20     70     40     50     10     1      0      -1     -1     1        0      0.0% -1.00     
10M  60     20     90     80     100    50     1      -1     0      0      1        1      100.0% 0.28      
10M  60     20     90     100    100    100    0      0      1      1      1        0      0.0% -0.47     
10M  60     20     100    90     100    70     1      -1     0      0      1        1      100.0% 0.24      
10M  60     30     10     100    70     50     0      1      0      0      1        0      0.0% -0.82     
10M  60     30     60     40     20     40     0      -1     -1     -1     1        0      0.0% -0.58     
10M  60     30     80     40     50     40     1      0      1      1      1        0      0.0% -0.83     
10M  60     40     40     30     40     30     0      0      -1     -1     1        1      100.0% 0.06      
10M  60     40     70     40     10     30     1      -1     0      0      1        0      0.0% -0.46     
10M  70     20     20     80     70     60     -1     -1     0      0      1        0      0.0% -1.01     
10M  70     20     70     60     40     40     1      0      -1     -1     1        1      100.0% 0.15      
10M  70     20     80     50     50     70     1      0      -1     -1     1        0      0.0% -0.93     
10M  70     30     10     80     100    80     -1     -1     0      0      1        1      100.0% 0.90      
10M  70     30     70     20     40     40     0      1      0      0      1        0      0.0% -0.31     
10M  70     50     90     70     60     80     -1     1      0      0      1        1      100.0% 0.21      
10M  70     100    60     20     30     60     0      0      1      1      1        1      100.0% 0.04      
10M  80     20     30     90     70     90     0      0      1      1      1        1      100.0% 0.33      
10M  80     20     40     50     70     100    0      0      -1     -1     1        0      0.0% -0.90     
10M  80     20     50     30     30     30     1      -1     0      0      1        1      100.0% 0.48      
10M  80     20     70     40     40     40     1      1      1      1      1        1      100.0% 0.15      
10M  80     20     80     30     50     70     -1     0      1      1      1        1      100.0% 0.33      
10M  80     20     90     90     100    60     0      -1     0      0      1        1      100.0% 0.15      
10M  80     20     90     100    80     100    0      -1     0      0      1        0      0.0% -0.29     
10M  80     20     100    90     80     100    0      -1     0      0      1        1      100.0% 0.68      
10M  80     30     10     80     100    90     0      -1     0      0      1        0      0.0% -0.99     
10M  80     30     40     20     80     50     -1     -1     0      0      1        1      100.0% 0.01      
10M  80     30     80     30     40     30     0      0      1      1      1        1      100.0% 0.13      
10M  80     30     90     70     100    60     0      -1     0      0      1        1      100.0% 0.17      
10M  90     20     30     70     100    80     0      1      0      0      1        1      100.0% 0.19      
10M  90     20     50     30     50     70     1      -1     1      1      1        1      100.0% 0.14      
10M  90     20     70     30     50     50     0      0      1      1      1        1      100.0% 0.39      
10M  90     30     30     70     80     70     0      1      -1     -1     1        1      100.0% 0.07      
10M  90     30     40     30     50     30     -1     1      0      0      1        1      100.0% 0.62      
10M  90     30     90     70     100    70     1      0      1      1      1        0      0.0% -0.73     
10M  100    20     10     90     100    100    0      0      1      1      1        1      100.0% 0.46      
10M  100    20     40     30     30     50     0      1      -1     -1     1        1      100.0% 0.27      
10M  100    20     70     30     100    80     0      0      -1     -1     1        1      100.0% 0.28      
10M  100    20     80     90     100    100    1      1      -1     -1     1        1      100.0% 0.24      
10M  100    20     90     80     100    100    0      1      1      1      1        1      100.0% 1.65      
10M  100    20     100    80     100    100    0      1      -1     -1     1        1      100.0% 0.18      
10M  100    30     60     50     100    70     1      1      -1     -1     1        0      0.0% -0.95     
10M  100    30     90     80     100    100    0      1      -1     -1     1        0      0.0% -0.99     
10M  100    30     100    60     100    100    0      -1     1      1      1        1      100.0% 0.11      
10M  100    40     20     100    100    100    0      0      1      1      1        1      100.0% 0.29      
10M  100    40     90     80     100    100    -1     -1     -1     -1     1        0      0.0% -0.64     
10M  100    50     40     10     100    100    0      1      1      1      1        0      0.0% -0.32     
10M  100    60     70     80     90     100    0      -1     1      1      1        1      100.0% 0.85      
10M  100    90     90     100    100    100    0      1      1      1      1        1      100.0% 0.24      
10M  100    100    100    100    100    100    -1     0      -1     -1     1        0      0.0% -0.97     
15M  20     30     40     20     10     10     0      0      1      1      1        0      0.0% -0.16     
15M  40     20     10     70     40     40     0      1      0      0      1        1      100.0% 0.12      
15M  40     20     40     40     100    40     1      1      0      0      1        1      100.0% 0.66      
15M  40     20     70     60     30     20     -1     -1     1      1      1        0      0.0% -0.32     
15M  40     20     80     80     90     60     0      0      1      1      1        0      0.0% -0.78     
15M  40     30     40     60     50     40     0      1      0      0      1        1      100.0% 0.89      
15M  50     20     30     60     30     50     -1     0      -1     -1     1        0      0.0% -0.51     
15M  50     20     40     30     30     20     1      0      -1     -1     1        1      100.0% 0.49      
15M  50     20     40     60     10     40     -1     1      0      0      1        1      100.0% 0.23      
15M  50     20     60     30     20     70     0      0      1      1      1        0      0.0% -0.40     
15M  50     20     70     40     90     70     -1     0      -1     -1     1        0      0.0% -0.97     
15M  50     20     90     70     100    60     0      -1     0      0      1        0      0.0% -0.96     
15M  50     30     60     20     40     30     1      -1     0      0      1        0      0.0% -0.25     
15M  50     30     70     30     10     50     -1     1      0      0      1        1      100.0% 0.07      
15M  50     50     40     30     10     40     -1     0      1      1      1        0      0.0% -0.40     
15M  50     50     40     30     40     30     0      0      -1     -1     1        1      100.0% 0.07      
15M  50     50     40     30     60     40     -1     0      1      1      1        1      100.0% 0.17      
15M  60     20     10     40     60     30     0      -1     0      0      1        1      100.0% 0.06      
15M  60     20     20     70     70     90     -1     0      -1     -1     1        0      0.0% -0.97     
