=== DECILE_WINRATE_REPORT ===
Generated: 2026-03-24 10:40:35
ST   ATR    Vol    RSI    ADX    EMA    BBW    R_BSP  B_BSP  RT_BSP S_BSP  Total    Wins   Win Rate   PnL       
10M  50     100    90     80     60     50     0      0      -1     -1     1        1      100.0% 0.05      
10M  60     20     10     30     40     40     -1     0      -1     -1     1        1      100.0% 0.25      
10M  60     20     10     60     40     60     -1     1      -1     -1     1        0      0.0% -0.51     
10M  60     20     20     50     50     90     -1     1      0      0      1        0      0.0% -0.26     
10M  60     20     30     60     90     70     0      1      0      0      1        0      0.0% -0.52     
10M  60     20     30     80     70     50     1      0      1      1      1        0      0.0% -0.68     
10M  60     20     40     30     50     40     -1     1      0      0      1        0      0.0% -0.73     
10M  60     20     50     30     20     20     -1     0      -1     -1     1        0      0.0% -0.57     
10M  60     20     50     30     30     30     -1     -1     0      0      1        1      100.0% 0.46      
10M  60     20     50     40     40     40     1      -1     0      0      1        0      0.0% -0.59     
10M  60     20     50     60     20     20     -1     0      1      1      1        0      0.0% -0.49     
10M  60     20     80     30     40     30     1      1      0      0      1        0      0.0% -0.17     
10M  60     20     80     50     30     40     1      0      -1     -1     1        0      0.0% -0.43     
10M  60     20     80     60     30     30     1      0      -1     -1     1        1      100.0% 0.14      
10M  60     20     90     60     70     70     0      -1     -1     -1     1        1      100.0% 0.10      
10M  60     20     90     80     70     100    0      -1     -1     -1     1        0      0.0% -0.55     
10M  60     20     90     90     70     70     0      -1     -1     -1     1        1      100.0% 0.25      
10M  60     20     90     100    100    70     0      -1     0      0      1        1      100.0% 0.86      
10M  60     20     100    30     20     60     1      0      1      1      1        1      100.0% 0.12      
10M  60     30     40     40     20     70     1      1      0      0      1        1      100.0% 0.04      
10M  60     30     50     30     10     60     1      1      0      0      1        1      100.0% 0.49      
10M  60     30     60     10     10     30     1      -1     0      0      1        0      0.0% -0.21     
10M  60     30     60     10     20     30     0      0      -1     -1     1        1      100.0% 0.20      
10M  60     30     60     10     60     40     0      0      -1     -1     1        1      100.0% 0.14      
10M  60     30     70     50     70     40     1      1      0      0      1        0      0.0% -0.43     
10M  60     40     10     70     100    70     0      -1     0      0      1        0      0.0% -0.66     
10M  60     40     40     30     20     30     -1     0      1      1      1        1      100.0% 0.02      
10M  60     40     40     100    60     40     0      1      0      0      1        0      0.0% -0.19     
10M  60     40     80     80     60     50     0      1      1      1      1        0      0.0% -0.11     
10M  60     50     20     70     50     60     0      0      -1     -1     1        0      0.0% -0.18     
10M  60     50     20     100    100    100    0      0      1      1      1        1      100.0% 0.13      
10M  60     60     30     30     40     40     -1     0      -1     -1     1        1      100.0% 0.87      
10M  60     60     30     60     70     50     -1     1      0      0      1        0      0.0% -0.59     
10M  60     70     20     60     100    80     0      -1     1      1      1        0      0.0% -0.54     
10M  60     70     20     60     100    90     0      1      0      0      1        0      0.0% -0.37     
10M  60     100    50     40     20     20     1      1      0      0      1        1      100.0% 0.06      
10M  70     20     10     90     90     80     0      1      0      0      1        1      100.0% 0.24      
10M  70     20     20     40     100    80     -1     1      0      0      1        1      100.0% 0.23      
10M  70     20     20     80     70     80     0      1      -1     -1     1        1      100.0% 0.04      
10M  70     20     20     100    70     70     -1     -1     0      0      1        0      0.0% -0.13     
10M  70     20     30     30     20     10     1      0      -1     -1     1        1      100.0% 0.17      
