=== DECILE_WINRATE_REPORT ===
Generated: 2026-03-29 14:10:06
ST   ATR    Vol    RSI    ADX    EMA    BBW    R_BSP  B_BSP  RT_BSP S_BSP  Total    Wins   Win Rate   PnL       
10M  30     10     50     20     30     40     0      0      0      0      1        0      0.0% -0.14     
10M  30     10     50     30     20     20     -1     0      0      0      1        1      100.0% 0.08      
10M  30     10     50     30     20     20     -1     0      1      1      1        0      0.0% -0.04     
10M  30     10     50     30     20     40     0      0      0      0      1        1      100.0% 0.08      
10M  30     10     50     60     40     50     1      0      0      0      1        0      0.0% -0.03     
10M  30     10     50     70     50     20     -1     0      0      0      1        1      100.0% 0.06      
10M  30     10     60     10     10     30     1      0      0      0      1        0      0.0% -0.09     
10M  30     10     60     10     20     20     0      0      0      0      1        0      0.0% -0.05     
10M  30     10     60     20     20     50     1      0      0      0      1        0      0.0% -0.12     
10M  30     10     60     30     10     10     -1     0      0      0      1        0      0.0% -0.13     
10M  30     10     60     30     30     50     0      0      0      0      1        0      0.0% -0.03     
10M  30     10     60     50     30     20     0      0      0      0      1        0      0.0% -0.01     
10M  30     10     60     60     10     30     -1     0      0      0      1        0      0.0% -0.19     
10M  30     10     70     10     10     30     -1     0      0      0      1        0      0.0% -0.07     
10M  30     10     70     10     10     30     0      0      0      0      1        1      100.0% 0.05      
10M  30     10     70     30     10     20     -1     0      -1     -1     1        0      0.0% -0.08     
10M  30     10     70     30     10     30     1      0      0      0      1        1      100.0% 0.07      
10M  30     10     70     30     40     40     -1     0      -1     -1     1        0      0.0% -0.06     
10M  30     10     70     30     50     30     1      0      0      0      1        0      0.0% -0.20     
10M  30     10     70     40     10     70     0      0      0      0      1        0      0.0% -0.11     
10M  30     10     70     40     40     20     0      0      0      0      1        1      100.0% 0.27      
10M  30     10     70     50     30     10     0      1      0      0      1        0      0.0% -0.15     
10M  30     10     70     60     20     60     -1     0      0      0      1        0      0.0% -0.15     
10M  30     10     80     10     10     40     -1     0      -1     -1     1        0      0.0% -0.06     
10M  30     10     80     10     20     10     0      0      0      0      1        0      0.0% -0.11     
10M  30     10     80     10     40     100    0      0      0      0      1        0      0.0% -0.04     
10M  30     10     80     40     10     20     1      0      -1     -1     1        0      0.0% -0.08     
10M  30     10     80     50     60     80     -1     0      0      0      1        0      0.0% -0.05     
10M  30     10     80     60     30     30     0      0      0      0      1        0      0.0% -0.10     
10M  30     10     80     70     30     10     -1     0      0      0      1        0      0.0% -0.20     
10M  30     10     90     20     20     20     -1     0      0      0      1        1      100.0% 0.05      
10M  30     10     90     20     20     30     0      0      0      0      1        0      0.0% -0.05     
10M  30     10     90     70     40     30     0      0      0      0      1        1      100.0% 0.07      
10M  30     10     100    30     10     10     0      0      0      0      1        0      0.0% -0.09     
10M  30     10     100    70     60     60     1      0      0      0      1        0      0.0% -0.11     
10M  30     20     80     60     20     20     0      1      1      1      1        1      100.0% 0.09      
10M  30     30     60     20     30     20     0      0      0      0      1        1      100.0% 0.18      
10M  30     30     70     20     20     40     -1     -1     1      1      1        0      0.0% -0.11     
10M  30     30     70     30     10     10     0      0      -1     -1     1        1      100.0% 0.32      
10M  30     30     70     50     30     30     1      0      0      0      1        0      0.0% -0.58     
10M  30     30     70     50     40     20     0      0      0      0      1        1      100.0% 0.01      
10M  30     40     30     30     30     30     0      0      0      0      1        0      0.0% -0.13     
